博主,ID,发布时间,页码,链接,正文
雪月霜,381269002,2026-03-26 14:55,1/1478,https://xueqiu.com/1505944393/381269002,是的啊，25年非洲矿成本做的比澳大利亚都低，导致出现了锂云母成本低于非洲锂辉石，低于澳大利亚锂辉石矿，这合理吗，结果就是国内被查，非洲也开始查了，总不能搞得跟蝗虫一样吧，早就该抓了，碳酸锂锂云母成本做到5～6万，这合理吗，偷挖盗采降本算什么降本
雪月霜,381268398,2026-03-26 14:55,1/1478,https://xueqiu.com/1505944393/381268398,已经不错了，大盘不看下吗
雪月霜,381252509,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381252509,某些人为何不明白减产增效的逻辑，举个例子当一家企业生产6万吨产能，成本8万，市场价7万，如果因为特熟原因减产到2～3万吨，成本到10～12万，但是市场价格涨到20多万，请问是利多还是利空，明显是利多好吧
雪月霜,381249418,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381249418,你为什么觉得这些利空中矿盛新和雅化
雪月霜,381249214,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381249214,没事，继续编，我看4月底怎么办
雪月霜,381248864,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381248864,转发碳酸锂传言：有企业反馈，津巴布韦那边要求两点：1）要企业给出明确的硫酸锂厂建设的时间表；2）要实行硫酸锂配额，并且配额在现有的关税上再增加10%的关税，以前他们出口的关税定价基准按照成本价600美金左右计算，后边可能按照硫酸锂市场价计算，这里会有很多成本上的差距，可能是未谈拢的地方 在津巴布韦的中资企业，在4月份冶炼的产能还是基本上满产去开，但是5月开始就会开始缺料，目前矿端的基差已经走强到贴18000，今天有报价贴17000，但未成交，2月的基差在贴19500-20000 这里存在很大的预期差，大家一开始都觉得津巴这个事情影响不大，觉得1个月能搞定，并且也不停产影响产量，实际上对5月开始的国内供给会产生很大的影响，企业有缺矿被动停产的风险，每个月要影响1.5万吨碳酸锂。
雪月霜,381248743,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381248743,转发碳酸锂传言：有企业反馈，津巴布韦那边要求两点：1）要企业给出明确的硫酸锂厂建设的时间表；2）要实行硫酸锂配额，并且配额在现有的关税上再增加10%的关税，以前他们出口的关税定价基准按照成本价600美金左右计算，后边可能按照硫酸锂市场价计算，这里会有很多成本上的差距，可能是未谈拢的地方 在津巴布韦的中资企业，在4月份冶炼的产能还是基本上满产去开，但是5月开始就会开始缺料，目前矿端的基差已经走强到贴18000，今天有报价贴17000，但未成交，2月的基差在贴19500-20000 这里存在很大的预期差，大家一开始都觉得津巴这个事情影响不大，觉得1个月能搞定，并且也不停产影响产量，实际上对5月开始的国内供给会产生很大的影响，企业有缺矿被动停产的风险，每个月要影响1.5万吨碳酸锂。
雪月霜,381248030,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381248030,$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$ 如果津巴布韦消息是真的，那基本上可以确定4月底以后碳酸锂价格要上一个台阶，未来除非碳酸锂价格大幅提升，资本性开支都属于不划算了，核心是这不是孤立，最后大家不要瞧不起津巴布韦，目前在国内锂精矿供应占比接近20%，仅次于澳大利亚，最主要的还不是目前占比而是未来，因为今年到明年绝大多数新增产能来源于此，这相当于直接导致明年会供需缺口非常大 $赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$ 如果津巴布韦消息是真的，那基本上可以确定4月底以后碳酸锂价格要上一个台阶，未来除非碳酸锂价格大幅提升，资本性开支都属于不划算了，核心是这不是孤立，最后大家不要瞧不起津巴布韦，目前在国内锂精矿供应占比接近20%，仅次于...
雪月霜,381245685,2026-03-26 13:55,1/1478,https://xueqiu.com/1505944393/381245685,我说什么了，怎么举报，我什么都没写
雪月霜,381234897,2026-03-26 12:55,1/1478,https://xueqiu.com/1505944393/381234897,华友比较激进，扩张较快，上行周期是优点
