博主,ID,发布时间,页码,链接,正文
超级鹿鼎公,384314398,2026-04-17 09:04,1/1218,https://xueqiu.com/8790885129/384314398,淡季，印尼煤虽然减量，但是蒙古煤进口很厉害，尤其焦煤
超级鹿鼎公,384308491,2026-04-17 08:22,1/1218,https://xueqiu.com/8790885129/384308491,虽然我还持有不少煤炭股，但是我实实在在的告诉你，基本上没有便宜的煤炭股了，
超级鹿鼎公,384301666,2026-04-17 06:48,1/1218,https://xueqiu.com/8790885129/384301666,看到茅台的季报，回想起洋河亏损的三季报，我现在还想问一下一颗赛欧大师的粉丝，你家大师真的懂白酒吗
超级鹿鼎公,384301230,2026-04-17 06:39,1/1218,https://xueqiu.com/8790885129/384301230,$贵州茅台(SH600519)$ 永远有多远，永远是26年4月 永远增长的茅台负增长了，4季度单季销售额掉了五分之一，税后利润掉了三分之一 之前建立在茅台很难负增长的地基上的所有预估全部推翻重来 虽然有管理层换届洗澡的可能，并且4季度控量保价，但是这张四季报，摧毁的是市场信心，独一档的光辉的茅台估值，被推向平凡 之前本人所有基于很难负增长的价值预估全部推翻重来 之前本人所有基于很难负增长的价值预估全部推翻重来 之前本人所有基于很难负增长的价值预估全部推翻重来 $贵州茅台(SH600519)$ 永远有多远，永远是26年4月 永远增长的茅台负增长了，4季度单季销售额掉了五分之一，税后利润掉了三分之一 之前建立在茅台很难负增长的地基上的所有预估全部推翻重来 虽然有管理层换届洗澡的可能，并且4季度控量保价，但是这张四季报，摧毁的是市场信心，独一档...
超级鹿鼎公,384217014,2026-04-16 16:44,1/1218,https://xueqiu.com/8790885129/384217014,你这么会怼，也没见你上中美谈判会啊
超级鹿鼎公,383669406,2026-04-13 17:19,2/1218,https://xueqiu.com/8790885129/383669406,我从不否认，巴菲特这么多年，最多的利润，来自少数几只，或者十几只长期持有又重仓的股票， 我只是说，巴菲特买进的股票，也不是每一只都真正看懂，下重注的，很多时候，甚至可以说绝大多数都是试盘，也许买对了，但是仓位没上，股价很快涨上去了，也许买错了，很快抛弃或者止损了
超级鹿鼎公,383580733,2026-04-13 09:40,2/1218,https://xueqiu.com/8790885129/383580733,再说个扎心的事实，巴菲特大部分股票都是1年以内的短线，只有10%的股票持股超过10年 那些拿着巴菲特做幌子的骗子，不会告诉你的真相
超级鹿鼎公,383569173,2026-04-13 08:24,2/1218,https://xueqiu.com/8790885129/383569173,普通散户最容易大亏的两种方式 1高价买入劣质股，长期持有 2随便买入，不断割肉 普通散户最容易赚钱的方式 1低价买入优质股，长期持有 2利用技术，股灾，短期坏消息低价买入优质股，割完韭菜就走 长期持有不是赚钱的充分条件，低价买入优质股才是，只说长期持股能赢的，基本上都是骗子 普通散户最容易大亏的两种方式 1高价买入劣质股，长期持有 2随便买入，不断割肉 普通散户最容易赚钱的方式 1低价买入优质股，长期持有 2利用技术，股灾，短期坏消息低价买入优质股，割完韭菜就走 长期持有不是赚钱的充分条件，低价买入优质股才是，只说长期持股能赢的，基...
黑色面包,385127621,2026-04-22 14:10,1/70,https://xueqiu.com/9507152383/385127621,哈哈哈，这老哥可不是一般的给力，他正是Dhyvia现在最需要的人！...... 首先，老哥在巴克雷就是做核心银行平台的整合的，在那之前在花旗做技术运营，完全了解银行客户的痛点究竟在哪里（这是Dhyvia没有的）； 其次，老哥和Mike，Takis一样，都是麦府出身的； 再次，老哥之前可是Pismo的CEO，Pismo是100% 现代化的微服务架构，600多个Cloud Native API，正常传统银行要发一张新信用卡或上线一个支付系统需要几个月甚至半年；用了 Pismo 的系统，几周就行。Pismo底座能支撑上亿个活跃账户，管理几千万张支付卡，每年几百亿美金交易，几百亿次API调用，而且拿满所有金融级别（非常苛刻！）的云端安全合规认证。$VISA(V)$ 23年10亿美金收购，是Visa收购之后他被提到全公司的CEO的位置上，平稳过渡，功成身退。他们的客户可是花旗银行（Citi）、拉美最大银行 Itaú，以及 Nubank、Revolut、N26 这些全球估值最高的现象级数字银行。 看着今年加入$费哲金融服务(FISV)$ 的这些大牛们，我也好想加入这个“梦之队”，在这个数字支付的大变革时代去奋斗，顺带着肉身赚点股啊！ 哈哈哈，这老哥可不是一般的给力，他正是Dhyvia现在最需要的人！...... 首先，老哥在巴克雷就是做核心银行平台的整合的，在那之前在花旗做技术运营，完全了解银行客户的痛点究竟在哪里（这是Dhyvia没有的）； 其次，老哥和Mike，Takis一样，都是麦府出身的； 再次，老哥之前可是Pismo...
黑色面包,384918654,2026-04-21 14:06,1/70,https://xueqiu.com/9507152383/384918654,这是一个很好的问题，这也是个很有意思的案例。所以$安飞士(CAR)$ 这波几乎不是一个散户驱动的故事，而是华尔街玩市场结构的一个案例。大股东SRS是insider，在董事会上，这个49%的筹码是不会动的；Pentwater的short swing要到8月份才结束，也就是说，他们的22%的筹码是不能动的，因为动了会变成短期swing，利润要全部回吐。这样加起来71%的筹码是没法动的，搭配50%的沽空比率。从疯狂程度来看，这次已经可以和$游戏驿站(GME)$ 和$AMC娱乐(AMC)$ 媲美了。由于是机构在参与轧空，那么到了某一个时点，这部分资金是会套现离开的，因为她们知道无法永续，而维持的金额在指数增加，投机是理性的，兑现利润也大概率会是理性的，所以最后很可能是一个机构踩踏式的大跌。 这家公司的股权，没什么价值的。
黑色面包,384727081,2026-04-20 14:18,1/70,https://xueqiu.com/9507152383/384727081,我们的持仓$腾讯控股(00700)$ 投了另一家持仓$Joint Stock(KSPI)$ ，秒手啊，无论是支付领域的潜在协同，还是在土耳其广阔的市场对$阿里巴巴(BABA)$ 系Trendyol的狙击。这个位置Baring退出可能更多是时间因素不得已吧，但其他这个价格卖出的人，我是真的觉得不太理解的… 两个全球最顶级的超级应用终于“在一起”了，真好
